Ref,Links,
Arkle et al 2013,https://pubs.geoscienceworld.org/gsa/gsabulletin/article-abstract/125/5-6/776/125904/Focused-exhumation-in-the-syntaxis-of-the-western?redirectedFrom=PDF,
Benowitz et al 2011,https://pubs.geoscienceworld.org/gsa/geosphere/article/7/2/455/132442/Spatial-variations-in-focused-exhumation-along-a,
Benowitz et al 2022,https://pubs.geoscienceworld.org/gsa/geosphere/article/18/3/1030/612950/Large-scale-crustal-block-vertical-extrusion,
Benowitz et al 2012,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2011GC003951,
Berger et al 2008,https://www.sciencedirect.com/science/article/abs/pii/S0012821X08001350?via%3Dihub,
Berger and Spotila 2008,https://pubs.geoscienceworld.org/gsa/geology/article-abstract/36/7/523/29784/Denudation-and-deformation-in-a-glaciated-orogenic?redirectedFrom=PDF,
Box et al 1993,https://dggs.alaska.gov/webpubs/usgs/mf/text/mf-2226a.pdf,
Buscher 2008 Thesis,https://vtechworks.lib.vt.edu/handle/10919/27760,
Clendenen et al 2003,https://pure.psu.edu/en/publications/cooling-and-exhumation-history-of-the-kodiak-accretionary-prism-s,
Cook et al 1991,https://pubs.geoscienceworld.org/gsa/gsabulletin/article-abstract/103/6/829/182595/Magmatism-and-deformation-southern-Revillagigedo,
Dusel-bacon et al 2016,https://cdnsciencepub.com/doi/abs/10.1139/cjes-2015-0138,
Dusel-Bacon and Murphy 2001,https://cdnsciencepub.com/doi/abs/10.1139/e01-015,
Enkelmann et al 2010,https://www.ajsonline.org/content/310/4/231.short,
Enkelmann et al 2015,https://www.sciencedirect.com/science/article/abs/pii/S0277379114004065?via%3Dihub,
Enkelmann et al 2017,https://www.sciencedirect.com/science/article/abs/pii/S0012821X16305891?via%3Dihub,
Fitzgerald et al 1995,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/95JB02150,
Frohman 2014 Thesis,https://scholarworks.alaska.edu/bitstream/handle/11122/4807/Frohman_uaf_0006N_10268.pdf,sequence=1
Hacker et al. 2011,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2010TC002798,
Haeussler et al 2015,https://www.sciencedirect.com/science/article/pii/S0277379114004004?via%3Dihub,
Lease 2018,https://www.sciencedirect.com/science/article/abs/pii/S0012821X18303480?via%3Dihub,
Lease et al 2021,https://pubs.geoscienceworld.org/gsa/geology/article/49/5/602/594893/Extreme-Quaternary-plate-boundary-exhumation-and,
Little and Naeser 1989,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/JB094iB04p04333,
McAleer et al. 2009,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007TC002240,
Meigs et al 2008,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007TC002168,
Milde 2014 Thesis,https://surface.syr.edu/thesis/29/,
O'Sullivan and Currie 1996,https://www.sciencedirect.com/science/article/abs/pii/0012821X96001616,
Perry 2014 Thesis,https://www.proquest.com/openview/102f1658ed98c3f4adad7e599fba9042/1?pq-origsite=gscholar&cbl=18750,
Riccio et al 2014,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2014TC003646,
Spotila et al 2004,https://pubs.geoscienceworld.org/gsa/geology/article-abstract/32/6/501/29456/Long-term-glacial-erosion-of-active-mountain-belts,
Terhune et al 2019,https://pubs.geoscienceworld.org/gsa/geosphere/article/15/5/1539/572586/Cenozoic-tectono-thermal-history-of-the-southern,
Waldien et al 2018,https://pubs.geoscienceworld.org/gsa/geosphere/article/14/6/2379/565763/Late-Miocene-to-Quaternary-evolution-of-the,
Waldien et al 2022,https://www.sciencedirect.com/science/article/pii/S0012821X21004982?via%3Dihub,
Warfel 2018 Thesis,https://www.proquest.com/openview/a6a182ad73bd3c03c9edf0e373bb3a0e/1?pq-origsite=gscholar&cbl=18750&diss=y,
